# r(Angstrom)	g(r)	in_region	integrand
5.580000000000000071e+00 9.728735510526456132e-01 0.000000000000000000e+00 3.345981486153041118e+01
5.599999000000000393e+00 9.733207522816876844e-01 0.000000000000000000e+00 3.371557891247766037e+01
5.620000000000000107e+00 9.740275156684344848e-01 0.000000000000000000e+00 3.398150394322737355e+01
5.639999000000000429e+00 9.750937924517948385e-01 0.000000000000000000e+00 3.426124849030411923e+01
5.660000000000000142e+00 9.765800894371662322e-01 0.000000000000000000e+00 3.455727325365076297e+01
5.679998999999999576e+00 9.785039482596855631e-01 0.000000000000000000e+00 3.487047312642896912e+01
5.700000000000000178e+00 9.808401310799707007e-01 0.000000000000000000e+00 3.520032531280055110e+01
5.719998999999999612e+00 9.835246299657898206e-01 0.000000000000000000e+00 3.554478446080324261e+01
5.740000000000000213e+00 9.864613918650972924e-01 0.000000000000000000e+00 3.590067518067673547e+01
5.759998999999999647e+00 9.895322562628878771e-01 0.000000000000000000e+00 3.626381669718092127e+01
